Time,Amplitude
2016-11-21T20:59:32.019538Z,1140
2016-11-21T20:59:32.069538Z,921
2016-11-21T20:59:32.119538Z,676
2016-11-21T20:59:32.169538Z,319
2016-11-21T20:59:32.219538Z,-36
2016-11-21T20:59:32.269538Z,-278
2016-11-21T20:59:32.319538Z,-358
2016-11-21T20:59:32.369538Z,-272
2016-11-21T20:59:32.419538Z,-88
2016-11-21T20:59:32.469538Z,176
2016-11-21T20:59:32.519538Z,439
2016-11-21T20:59:32.569538Z,615
2016-11-21T20:59:32.619538Z,800
2016-11-21T20:59:32.669538Z,866
2016-11-21T20:59:32.719538Z,767
2016-11-21T20:59:32.769538Z,618
2016-11-21T20:59:32.819538Z,381
2016-11-21T20:59:32.869538Z,167
2016-11-21T20:59:32.919538Z,27
2016-11-21T20:59:32.969538Z,-35
2016-11-21T20:59:33.019538Z,-102
2016-11-21T20:59:33.069538Z,-133
2016-11-21T20:59:33.119538Z,-147
2016-11-21T20:59:33.169538Z,-260
2016-11-21T20:59:33.219538Z,-333
2016-11-21T20:59:33.269538Z,-336
2016-11-21T20:59:33.319538Z,-228
2016-11-21T20:59:33.369538Z,-66
2016-11-21T20:59:33.419538Z,85
2016-11-21T20:59:33.469538Z,213
2016-11-21T20:59:33.519538Z,283
2016-11-21T20:59:33.569538Z,335
2016-11-21T20:59:33.619538Z,322
2016-11-21T20:59:33.669538Z,261
2016-11-21T20:59:33.719538Z,180
2016-11-21T20:59:33.769538Z,97
2016-11-21T20:59:33.819538Z,-58
2016-11-21T20:59:33.869538Z,-238
2016-11-21T20:59:33.919538Z,-353
2016-11-21T20:59:33.969538Z,-480
2016-11-21T20:59:34.019538Z,-542
2016-11-21T20:59:34.069538Z,-534
2016-11-21T20:59:34.119538Z,-493
2016-11-21T20:59:34.169538Z,-414
2016-11-21T20:59:34.219538Z,-305
2016-11-21T20:59:34.269538Z,-167
2016-11-21T20:59:34.319538Z,-81
2016-11-21T20:59:34.369538Z,-42
2016-11-21T20:59:34.419538Z,15
2016-11-21T20:59:34.469538Z,-31
2016-11-21T20:59:34.519538Z,-137
2016-11-21T20:59:34.569538Z,-230
2016-11-21T20:59:34.619538Z,-376
2016-11-21T20:59:34.669538Z,-380
2016-11-21T20:59:34.719538Z,-252
2016-11-21T20:59:34.769538Z,-29
2016-11-21T20:59:34.819538Z,330
2016-11-21T20:59:34.869538Z,705
2016-11-21T20:59:34.919538Z,996
2016-11-21T20:59:34.969538Z,1113
2016-11-21T20:59:35.019538Z,1202
2016-11-21T20:59:35.069538Z,1302
2016-11-21T20:59:35.119538Z,1377
2016-11-21T20:59:35.169538Z,1434
2016-11-21T20:59:35.219538Z,1523
2016-11-21T20:59:35.269538Z,1601
2016-11-21T20:59:35.319538Z,1623
2016-11-21T20:59:35.369538Z,1702
2016-11-21T20:59:35.419538Z,1739
2016-11-21T20:59:35.469538Z,1827
2016-11-21T20:59:35.519538Z,1894
2016-11-21T20:59:35.569538Z,1851
2016-11-21T20:59:35.619538Z,1810
2016-11-21T20:59:35.669538Z,1730
2016-11-21T20:59:35.719538Z,1673
2016-11-21T20:59:35.769538Z,1562
2016-11-21T20:59:35.819538Z,1490
2016-11-21T20:59:35.869538Z,1495
2016-11-21T20:59:35.919538Z,1439
2016-11-21T20:59:35.969538Z,1325
2016-11-21T20:59:36.019538Z,1079
2016-11-21T20:59:36.069538Z,653
2016-11-21T20:59:36.119538Z,158
2016-11-21T20:59:36.169538Z,-277
2016-11-21T20:59:36.219538Z,-695
2016-11-21T20:59:36.269538Z,-982
2016-11-21T20:59:36.319538Z,-1052
2016-11-21T20:59:36.369538Z,-1017
2016-11-21T20:59:36.419538Z,-902
2016-11-21T20:59:36.469538Z,-781
2016-11-21T20:59:36.519538Z,-729
2016-11-21T20:59:36.569538Z,-757
2016-11-21T20:59:36.619538Z,-873
2016-11-21T20:59:36.669538Z,-985
2016-11-21T20:59:36.719538Z,-1032
2016-11-21T20:59:36.769538Z,-992
2016-11-21T20:59:36.819538Z,-846
2016-11-21T20:59:36.869538Z,-735
2016-11-21T20:59:36.919538Z,-607
2016-11-21T20:59:36.969538Z,-490
2016-11-21T20:59:37.019538Z,-411
2016-11-21T20:59:37.069538Z,-178
2016-11-21T20:59:37.119538Z,195
2016-11-21T20:59:37.169538Z,646
2016-11-21T20:59:37.219538Z,1038
2016-11-21T20:59:37.269538Z,1349
2016-11-21T20:59:37.319538Z,1479
2016-11-21T20:59:37.369538Z,1380
2016-11-21T20:59:37.419538Z,1224
2016-11-21T20:59:37.469538Z,1070
2016-11-21T20:59:37.519538Z,978
2016-11-21T20:59:37.569538Z,858
2016-11-21T20:59:37.619538Z,666
2016-11-21T20:59:37.669538Z,470
2016-11-21T20:59:37.719538Z,370
2016-11-21T20:59:37.769538Z,336
2016-11-21T20:59:37.819538Z,317
2016-11-21T20:59:37.869538Z,402
2016-11-21T20:59:37.919538Z,493
2016-11-21T20:59:37.969538Z,509
2016-11-21T20:59:38.019538Z,516
2016-11-21T20:59:38.069538Z,559
2016-11-21T20:59:38.119538Z,714
2016-11-21T20:59:38.169538Z,957
2016-11-21T20:59:38.219538Z,1148
2016-11-21T20:59:38.269538Z,1235
2016-11-21T20:59:38.319538Z,1176
2016-11-21T20:59:38.369538Z,1010
2016-11-21T20:59:38.419538Z,845
2016-11-21T20:59:38.469538Z,724
2016-11-21T20:59:38.519538Z,610
2016-11-21T20:59:38.569538Z,532
2016-11-21T20:59:38.619538Z,565
2016-11-21T20:59:38.669538Z,685
2016-11-21T20:59:38.719538Z,867
2016-11-21T20:59:38.769538Z,1041
2016-11-21T20:59:38.819538Z,1174
2016-11-21T20:59:38.869538Z,1229
2016-11-21T20:59:38.919538Z,1196
2016-11-21T20:59:38.969538Z,1032
2016-11-21T20:59:39.019538Z,717
2016-11-21T20:59:39.069538Z,432
2016-11-21T20:59:39.119538Z,231
2016-11-21T20:59:39.169538Z,196
2016-11-21T20:59:39.219538Z,181
2016-11-21T20:59:39.269538Z,59
2016-11-21T20:59:39.319538Z,-48
2016-11-21T20:59:39.369538Z,-216
2016-11-21T20:59:39.419538Z,-353
2016-11-21T20:59:39.469538Z,-481
2016-11-21T20:59:39.519538Z,-683
2016-11-21T20:59:39.569538Z,-887
2016-11-21T20:59:39.619538Z,-1081
2016-11-21T20:59:39.669538Z,-1243
2016-11-21T20:59:39.719538Z,-1349
2016-11-21T20:59:39.769538Z,-1425
2016-11-21T20:59:39.819538Z,-1402
2016-11-21T20:59:39.869538Z,-1193
2016-11-21T20:59:39.919538Z,-906
2016-11-21T20:59:39.969538Z,-590
2016-11-21T20:59:40.019538Z,-339
2016-11-21T20:59:40.069538Z,-207
2016-11-21T20:59:40.119538Z,-107
2016-11-21T20:59:40.169538Z,-11
2016-11-21T20:59:40.219538Z,71
2016-11-21T20:59:40.269538Z,227
2016-11-21T20:59:40.319538Z,559
2016-11-21T20:59:40.369538Z,1008
2016-11-21T20:59:40.419538Z,1529
2016-11-21T20:59:40.469538Z,2039
2016-11-21T20:59:40.519538Z,2313
2016-11-21T20:59:40.569538Z,2417
2016-11-21T20:59:40.619538Z,2415
2016-11-21T20:59:40.669538Z,2204
2016-11-21T20:59:40.719538Z,2002
2016-11-21T20:59:40.769538Z,1770
2016-11-21T20:59:40.819538Z,1510
2016-11-21T20:59:40.869538Z,1291
2016-11-21T20:59:40.919538Z,1002
2016-11-21T20:59:40.969538Z,799
2016-11-21T20:59:41.019538Z,672
2016-11-21T20:59:41.069538Z,620
2016-11-21T20:59:41.119538Z,684
2016-11-21T20:59:41.169538Z,723
2016-11-21T20:59:41.219538Z,761
2016-11-21T20:59:41.269538Z,794
2016-11-21T20:59:41.319538Z,752
2016-11-21T20:59:41.369538Z,675
2016-11-21T20:59:41.419538Z,598
2016-11-21T20:59:41.469538Z,560
2016-11-21T20:59:41.519538Z,472
2016-11-21T20:59:41.569538Z,302
2016-11-21T20:59:41.619538Z,125
2016-11-21T20:59:41.669538Z,-93
2016-11-21T20:59:41.719538Z,-255
2016-11-21T20:59:41.769538Z,-271
2016-11-21T20:59:41.819538Z,-70
2016-11-21T20:59:41.869538Z,271
2016-11-21T20:59:41.919538Z,585
2016-11-21T20:59:41.969538Z,876
2016-11-21T20:59:42.019538Z,1085
2016-11-21T20:59:42.069538Z,1253
2016-11-21T20:59:42.119538Z,1365
2016-11-21T20:59:42.169538Z,1356
2016-11-21T20:59:42.219538Z,1334
2016-11-21T20:59:42.269538Z,1239
2016-11-21T20:59:42.319538Z,1030
2016-11-21T20:59:42.369538Z,807
2016-11-21T20:59:42.419538Z,622
2016-11-21T20:59:42.469538Z,458
2016-11-21T20:59:42.519538Z,296
2016-11-21T20:59:42.569538Z,213
2016-11-21T20:59:42.619538Z,190
2016-11-21T20:59:42.669538Z,229
2016-11-21T20:59:42.719538Z,283
2016-11-21T20:59:42.769538Z,258
2016-11-21T20:59:42.819538Z,166
2016-11-21T20:59:42.869538Z,-40
2016-11-21T20:59:42.919538Z,-275
2016-11-21T20:59:42.969538Z,-446
2016-11-21T20:59:43.019538Z,-617
2016-11-21T20:59:43.069538Z,-769
2016-11-21T20:59:43.119538Z,-875
2016-11-21T20:59:43.169538Z,-860
2016-11-21T20:59:43.219538Z,-716
2016-11-21T20:59:43.269538Z,-591
2016-11-21T20:59:43.319538Z,-531
2016-11-21T20:59:43.369538Z,-527
2016-11-21T20:59:43.419538Z,-590
2016-11-21T20:59:43.469538Z,-743
2016-11-21T20:59:43.519538Z,-893
2016-11-21T20:59:43.569538Z,-987
2016-11-21T20:59:43.619538Z,-1019
2016-11-21T20:59:43.669538Z,-906
2016-11-21T20:59:43.719538Z,-764
2016-11-21T20:59:43.769538Z,-631
2016-11-21T20:59:43.819538Z,-464
2016-11-21T20:59:43.869538Z,-380
2016-11-21T20:59:43.919538Z,-298
2016-11-21T20:59:43.969538Z,-247
2016-11-21T20:59:44.019538Z,-277
2016-11-21T20:59:44.069538Z,-207
2016-11-21T20:59:44.119538Z,-66
2016-11-21T20:59:44.169538Z,85
2016-11-21T20:59:44.219538Z,244
2016-11-21T20:59:44.269538Z,363
2016-11-21T20:59:44.319538Z,471
2016-11-21T20:59:44.369538Z,531
2016-11-21T20:59:44.419538Z,532
2016-11-21T20:59:44.469538Z,576
2016-11-21T20:59:44.519538Z,659
2016-11-21T20:59:44.569538Z,839
2016-11-21T20:59:44.619538Z,1058
2016-11-21T20:59:44.669538Z,1250
2016-11-21T20:59:44.719538Z,1419
